location,pedestrian count,longitude,latitude
Stop #2 Elgin Street,7.5,-75.6900061,45.4172591
Stop #2 Elgin Street,8. 5,-75.689958,45.417557
Stop #2 Elgin Street,12,-75.690308,45.417617
Stop #2 Elgin Street,16.5,-75.690294,45.418097
Stop #2 Elgin Street,10,-75.690569,45.418281
Stop #2 Elgin Street,15,-75.69101188,45.41854537
Stop #2 Elgin Street,12,-75.69112106,45.41861042
Stop #2 Elgin Street,10,-75.68805699,45.41530889
Stop #2 Elgin Street,11.5,-75.691204,45.419064
Stop #2 Elgin Street,10.5,-75.69154507,45.41956289
Stop #2 Elgin Street,11,-75.69180881,45.41947597
Stop #2 Elgin Street,8.5,-75.68908126,45.41646064
Stop #2 Elgin Street,5,-75.6876492,45.41456055
Stop #3 ByWard Market,11.5,-75.695089,45.428096
Stop #3 ByWard Market,35.5,-75.70146149,45.41318507
Stop #3 ByWard Market,4,-75.694378,45.428238
Stop #3 ByWard Market,12.5,-75.694444,45.42862
Stop #3 ByWard Market,7,-75.693812,45.428596
Stop #3 ByWard Market,5.5,-75.6916049,45.43092091
Stop #3 ByWard Market,32.5,-75.6910922,45.42874043
Stop #3 ByWard Market,10,-75.69327,45.429203
Stop #3 ByWard Market,27,-75.6925369,45.4285189
Stop #3 ByWard Market,7,-75.692936,45.429352
Stop #3 ByWard Market,4.5,-75.692411,45.429208